,SName,DName,CName,Enroll12,NumTstTakr,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,NumGE21,PctGE21,Year,Unnamed: 17
0,21st Century Learning Institute,Beaumont Unified,Riverside,18.0,0.0,,,,,,,2018-19,
1,ABC Secondary (Alternative),ABC Unified,Los Angeles,58.0,0.0,,,,,,,2018-19,
2,Abraham Lincoln Alternative,Southern Kern Unified,Kern,18.0,0.0,,,,,,,2018-19,
3,Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,53.0,23.0,22.0,22.0,23.0,34,64.15,2018-19,
4,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226.0,19.0,21.0,20.0,23.0,22.0,11,57.89,2018-19,
5,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,15.0,15.0,17.0,16.0,3,9.09,2018-19,
6,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126.0,16.0,18.0,18.0,18.0,17.0,5,31.25,2018-19,
7,Academies of the Antelope Valley,Antelope Valley Union High,Los Angeles,14.0,1.0,,,,,*,*,2018-19,
8,Academy (The)- SF @McAteer,San Francisco Unified,San Francisco,84.0,9.0,,,,,*,*,2018-19,
9,Academy for Academic Excellence,Apple Valley Unified,San Bernardino,97.0,13.0,,,,,*,*,2018-19,
10,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Los Angeles Unified,Los Angeles,141.0,10.0,,,,,*,*,2018-19,
11,Academy of Careers and Exploration,Helendale Elementary,San Bernardino,63.0,5.0,,,,,*,*,2018-19,
12,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,126.0,14.0,,,,,*,*,2018-19,
13,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,36.0,29.0,29.0,25.0,25.0,34,94.44,2018-19,
14,Academy of the Redwoods,Fortuna Union High,Humboldt,47.0,6.0,,,,,*,*,2018-19,
15,Acalanes Center for Independent Study,Acalanes Union High,Contra Costa,19.0,2.0,,,,,*,*,2018-19,
16,Acalanes High,Acalanes Union High,Contra Costa,353.0,99.0,29.0,29.0,28.0,27.0,93,93.94,2018-19,
17,Accelerated Charter High,Tulare Joint Union High,Tulare,78.0,0.0,,,,,,,2018-19,
18,ACE Charter High,East Side Union High,Santa Clara,41.0,34.0,14.0,14.0,15.0,15.0,1,2.94,2018-19,
19,Adelanto High,Victor Valley Union High,San Bernardino,430.0,28.0,19.0,17.0,18.0,18.0,8,28.57,2018-19,
20,Adolfo Camarillo High,Oxnard Union High,Ventura,507.0,91.0,23.0,23.0,23.0,22.0,55,60.44,2018-19,
21,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458.0,138.0,25.0,24.0,24.0,24.0,93,67.39,2018-19,
22,Agoura High,Las Virgenes Unified,Los Angeles,459.0,140.0,27.0,26.0,25.0,24.0,114,81.43,2018-19,
23,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,112.0,14.0,14.0,16.0,15.0,7,6.25,2018-19,
24,Alameda Community Learning Center,Alameda Unified,Alameda,31.0,5.0,,,,,*,*,2018-19,
25,Alameda High,Alameda Unified,Alameda,463.0,93.0,28.0,27.0,27.0,26.0,85,91.40,2018-19,
26,Alameda Science and Technology Institute,Alameda Unified,Alameda,43.0,12.0,,,,,*,*,2018-19,
27,Albany High,Albany City Unified,Alameda,296.0,58.0,28.0,27.0,27.0,26.0,51,87.93,2018-19,
28,Alder Grove Charter School 2,South Bay Union Elementary,Humboldt,51.0,0.0,,,,,,,2018-19,
29,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585.0,139.0,23.0,23.0,21.0,21.0,75,53.96,2018-19,
30,Alhambra High,Alhambra Unified,Los Angeles,648.0,93.0,24.0,25.0,24.0,23.0,69,74.19,2018-19,
31,Alhambra Senior High,Martinez Unified,Contra Costa,284.0,40.0,25.0,23.0,25.0,23.0,30,75.00,2018-19,
32,Alisal High,Salinas Union High,Monterey,651.0,206.0,18.0,17.0,18.0,18.0,47,22.82,2018-19,
33,Aliso Niguel High,Capistrano Unified,Orange,749.0,286.0,26.0,27.0,27.0,26.0,254,88.81,2018-19,
34,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,61.0,77.0,17.0,16.0,17.0,18.0,12,15.58,2018-19,
35,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123.0,155.0,15.0,14.0,16.0,16.0,13,8.39,2018-19,
36,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141.0,70.0,18.0,20.0,19.0,18.0,19,27.14,2018-19,
37,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101.0,80.0,16.0,16.0,18.0,17.0,14,17.50,2018-19,
38,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123.0,8.0,,,,,*,*,2018-19,
39,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,138.0,162.0,16.0,16.0,17.0,17.0,24,14.81,2018-19,
40,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128.0,155.0,18.0,18.0,18.0,18.0,40,25.81,2018-19,
41,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141.0,157.0,19.0,18.0,19.0,19.0,48,30.57,2018-19,
42,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114.0,139.0,17.0,16.0,16.0,16.0,19,13.67,2018-19,
43,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,73.0,86.0,15.0,13.0,16.0,16.0,7,8.14,2018-19,
44,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,130.0,148.0,15.0,14.0,16.0,16.0,16,10.81,2018-19,
45,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,Los Angeles,131.0,164.0,16.0,14.0,17.0,16.0,18,10.98,2018-19,
46,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105.0,143.0,15.0,13.0,15.0,15.0,4,2.80,2018-19,
47,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,131.0,147.0,16.0,14.0,16.0,16.0,12,8.16,2018-19,
48,Alliance Susan and Eric Smidt Technology High,Los Angeles Unified,Los Angeles,137.0,14.0,,,,,*,*,2018-19,
49,Alliance Ted K. Tajima High,Los Angeles Unified,Los Angeles,59.0,110.0,17.0,16.0,18.0,17.0,24,21.82,2018-19,
50,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,89.0,89.0,15.0,14.0,16.0,16.0,10,11.24,2018-19,
51,Alpaugh -Senior High,Alpaugh Unified,Tulare,24.0,0.0,,,,,,,2018-19,
52,Alpha Cindy Avitia High,East Side Union High,Santa Clara,89.0,0.0,,,,,,,2018-19,
53,Alta Loma High,Chaffey Joint Union High,San Bernardino,634.0,56.0,23.0,22.0,22.0,22.0,34,60.71,2018-19,
54,Alta Vista Alternative High,Santa Barbara Unified,Santa Barbara,61.0,8.0,,,,,*,*,2018-19,
55,Alta Vista Innovation High,Lucerne Valley Unified,San Bernardino,190.0,0.0,,,,,,,2018-19,
56,Alternatives in Action,Alameda Unified,Alameda,53.0,0.0,,,,,,,2018-19,
57,Amador High,Amador County Unified,Amador,154.0,17.0,25.0,25.0,25.0,24.0,16,94.12,2018-19,
58,Amador Valley High,Pleasanton Unified,Alameda,654.0,280.0,29.0,29.0,28.0,28.0,258,92.14,2018-19,
59,Ambassador Phillip V. Sanchez II Public Charter,Raisin City Elementary,Fresno,19.0,0.0,,,,,,,2018-19,
60,Ambassador-Global Leadership,Los Angeles Unified,Los Angeles,68.0,0.0,,,,,,,2018-19,
61,American Canyon High,Napa Valley Unified,Napa,412.0,41.0,23.0,23.0,24.0,24.0,31,75.61,2018-19,
62,American High,Fremont Unified,Alameda,538.0,136.0,29.0,30.0,30.0,29.0,126,92.65,2018-19,
63,American Indian Public High,Oakland Unified,Alameda,62.0,3.0,,,,,*,*,2018-19,
64,Anaheim High,Anaheim Union High,Orange,722.0,66.0,19.0,18.0,19.0,19.0,23,34.85,2018-19,
65,Anahuacalmecac International University Preparatory of North America,SBE - Anahuacalmecac International University Preparatory of North America,Los Angeles,14.0,8.0,,,,,*,*,2018-19,
66,Analy High,West Sonoma County Union High,Sonoma,262.0,33.0,27.0,27.0,25.0,24.0,27,81.82,2018-19,
67,Anderson High,Anderson Union High,Shasta,128.0,0.0,,,,,,,2018-19,
68,Anderson New Technology High,Anderson Union High,Shasta,37.0,6.0,,,,,*,*,2018-19,
69,Anderson Valley Junior-Senior High,Anderson Valley Unified,Mendocino,46.0,2.0,,,,,*,*,2018-19,
70,Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,224.0,21.0,26.0,27.0,26.0,25.0,18,85.71,2018-19,
71,Andrew P. Hill High,East Side Union High,Santa Clara,450.0,26.0,23.0,22.0,23.0,23.0,17,65.38,2018-19,
72,Angelo Rodriguez High,Fairfield-Suisun Unified,Solano,423.0,52.0,25.0,24.0,23.0,24.0,37,71.15,2018-19,
73,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,35.0,16.0,17.0,17.0,18.0,6,17.14,2018-19,
74,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,99.0,18.0,17.0,18.0,18.0,22,22.22,2018-19,
75,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,148.0,58.0,17.0,15.0,18.0,17.0,10,17.24,2018-19,
76,Animo Leadership High,Lennox,Los Angeles,153.0,127.0,16.0,15.0,17.0,17.0,13,10.24,2018-19,
77,Animo Pat Brown,Los Angeles Unified,Los Angeles,131.0,120.0,15.0,15.0,17.0,16.0,15,12.50,2018-19,
78,Animo Ralph Bunche Charter High,Los Angeles Unified,Los Angeles,147.0,12.0,,,,,*,*,2018-19,
79,Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,133.0,12.0,,,,,*,*,2018-19,
80,Animo Venice Charter High,Los Angeles Unified,Los Angeles,132.0,86.0,17.0,16.0,17.0,17.0,18,20.93,2018-19,
81,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,21.0,19.0,18.0,18.0,17.0,8,38.10,2018-19,
82,Ann Sobrato High,Morgan Hill Unified,Santa Clara,292.0,83.0,25.0,24.0,25.0,24.0,69,83.13,2018-19,
83,Antelope High,Roseville Joint Union High,Placer,442.0,92.0,23.0,22.0,22.0,22.0,61,66.30,2018-19,
84,Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,18.0,21.0,18.0,17.0,19.0,4,22.22,2018-19,
85,Antelope Valley Learning Academy,Palmdale Elementary,Los Angeles,235.0,0.0,,,,,,,2018-19,
86,Antioch High,Antioch Unified,Contra Costa,456.0,50.0,20.0,18.0,18.0,19.0,15,30.00,2018-19,
87,Anzar High,Aromas - San Juan Unified,San Benito,75.0,5.0,,,,,*,*,2018-19,
88,APEX Academy,Los Angeles Unified,Los Angeles,82.0,30.0,15.0,13.0,15.0,15.0,0,0.00,2018-19,
89,Apple Valley High,Apple Valley Unified,San Bernardino,551.0,55.0,22.0,22.0,20.0,21.0,30,54.55,2018-19,
90,Applied Technology Center,Montebello Unified,Los Angeles,123.0,26.0,20.0,18.0,16.0,18.0,6,23.08,2018-19,
91,Aptos High,Pajaro Valley Unified,Santa Cruz,335.0,65.0,26.0,25.0,24.0,24.0,53,81.54,2018-19,
92,Aragon High,San Mateo Union High,San Mateo,385.0,93.0,28.0,28.0,28.0,26.0,83,89.25,2018-19,
93,Arcadia High,Arcadia Unified,Los Angeles,829.0,192.0,28.0,29.0,28.0,27.0,175,91.15,2018-19,
94,Arcata High,Northern Humboldt Union High,Humboldt,210.0,40.0,28.0,26.0,25.0,25.0,36,90.00,2018-19,
95,Architecture Construction & Engineering Charter High (ACE),Oxnard Union High,Ventura,45.0,5.0,,,,,*,*,2018-19,
96,Argonaut High,Amador County Unified,Amador,96.0,20.0,23.0,21.0,21.0,21.0,13,65.00,2018-19,
97,ARISE High,Oakland Unified,Alameda,68.0,4.0,,,,,*,*,2018-19,
98,Ark Independent Studies,Santa Cruz City High,Santa Cruz,30.0,0.0,,,,,,,2018-19,
99,Arleta High,Los Angeles Unified,Los Angeles,311.0,2.0,,,,,*,*,2018-19,
100,Arlington High,Riverside Unified,Riverside,434.0,123.0,18.0,18.0,19.0,18.0,40,32.52,2018-19,
101,Armijo High,Fairfield-Suisun Unified,Solano,500.0,26.0,23.0,24.0,23.0,23.0,18,69.23,2018-19,
102,Arnold O. Beckman High,Tustin Unified,Orange,760.0,225.0,28.0,29.0,28.0,27.0,206,91.56,2018-19,
103,Arroyo Grande High,Lucia Mar Unified,San Luis Obispo,503.0,158.0,23.0,22.0,22.0,22.0,97,61.39,2018-19,
104,Arroyo High,El Monte Union High,Los Angeles,544.0,29.0,22.0,21.0,23.0,22.0,18,62.07,2018-19,
105,Arroyo High,San Lorenzo Unified,Alameda,473.0,32.0,21.0,22.0,23.0,22.0,18,56.25,2018-19,
106,Arroyo Valley High,San Bernardino City Unified,San Bernardino,565.0,51.0,19.0,17.0,18.0,18.0,14,27.45,2018-19,
107,Artesia High,ABC Unified,Los Angeles,344.0,27.0,19.0,18.0,20.0,19.0,10,37.04,2018-19,
108,Arthur A. Benjamin Health Professions High,Sacramento City Unified,Sacramento,42.0,0.0,,,,,,,2018-19,
109,Arvin High,Kern High,Kern,616.0,71.0,19.0,18.0,18.0,19.0,22,30.99,2018-19,
110,Asawa (Ruth) SF Sch of the Arts A Public School,San Francisco Unified,San Francisco,175.0,39.0,29.0,28.0,24.0,25.0,32,82.05,2018-19,
111,Aspire Alexander Twilight Secondary Academy,San Juan Unified,Sacramento,36.0,44.0,16.0,14.0,17.0,16.0,7,15.91,2018-19,
112,Aspire Benjamin Holt College Preparatory Academy,Lodi Unified,San Joaquin,94.0,98.0,21.0,20.0,20.0,20.0,51,52.04,2018-19,
113,Aspire East Palo Alto Charter,Ravenswood City Elementary,San Mateo,20.0,31.0,16.0,14.0,18.0,15.0,3,9.68,2018-19,
114,Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,65.0,151.0,18.0,17.0,17.0,17.0,31,20.53,2018-19,
115,Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,83.0,94.0,17.0,16.0,17.0,17.0,17,18.09,2018-19,
116,Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,Alameda,53.0,48.0,15.0,14.0,17.0,15.0,5,10.42,2018-19,
117,Aspire Ollin University Preparatory Academy,Los Angeles County Office of Education,Los Angeles,118.0,133.0,16.0,16.0,17.0,17.0,15,11.28,2018-19,
118,Aspire Pacific Academy,Los Angeles Unified,Los Angeles,97.0,99.0,15.0,14.0,16.0,16.0,7,7.07,2018-19,
119,Aspire Richmond Ca. College Preparatory Academy,West Contra Costa Unified,Contra Costa,50.0,59.0,17.0,16.0,16.0,17.0,6,10.17,2018-19,
120,Aspire Vanguard College Preparatory Academy,Modesto City High,Stanislaus,18.0,23.0,18.0,18.0,18.0,18.0,8,34.78,2018-19,
121,Assurance Learning Academy,Acton-Agua Dulce Unified,Los Angeles,439.0,0.0,,,,,,,2018-19,
122,Atascadero Choices in Education Academy (ACE),Atascadero Unified,San Luis Obispo,29.0,1.0,,,,,*,*,2018-19,
123,Atascadero High,Atascadero Unified,San Luis Obispo,278.0,34.0,26.0,25.0,25.0,25.0,26,76.47,2018-19,
124,Atwater High,Merced Union High,Merced,474.0,71.0,19.0,17.0,17.0,19.0,16,22.54,2018-19,
125,Audeo Charter,San Diego Unified,San Diego,172.0,1.0,,,,,*,*,2018-19,
126,Audeo Charter II,SBE - Audeo Charter II,San Diego,64.0,0.0,,,,,,,2018-19,
127,Audeo Charter School III,Escondido Union High,San Diego,26.0,0.0,,,,,,,2018-19,
128,Augustus F. Hawkins High A Critical Design and Gaming,Los Angeles Unified,Los Angeles,121.0,26.0,16.0,15.0,17.0,16.0,2,7.69,2018-19,
129,Augustus F. Hawkins High B Community Health Advocates,Los Angeles Unified,Los Angeles,93.0,25.0,15.0,13.0,15.0,15.0,0,0.00,2018-19,
130,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,Los Angeles Unified,Los Angeles,78.0,1.0,,,,,*,*,2018-19,
131,Avalon K-12,Long Beach Unified,Los Angeles,43.0,0.0,,,,,,,2018-19,
132,Avenal High,Reef-Sunset Unified,Kings,149.0,112.0,16.0,14.0,15.0,16.0,4,3.57,2018-19,
133,Aveson Global Leadership Academy,Pasadena Unified,Los Angeles,49.0,1.0,,,,,*,*,2018-19,
134,Azusa High,Azusa Unified,Los Angeles,291.0,25.0,17.0,16.0,18.0,19.0,4,16.00,2018-19,
135,B. Roberto Cruz Leadership Academy,East Side Union High,Santa Clara,59.0,0.0,,,,,,,2018-19,
136,Bakersfield High,Kern High,Kern,693.0,47.0,24.0,21.0,23.0,22.0,32,68.09,2018-19,
137,Balboa High,San Francisco Unified,San Francisco,306.0,42.0,20.0,19.0,21.0,20.0,18,42.86,2018-19,
138,Baldwin Park High,Baldwin Park Unified,Los Angeles,438.0,114.0,21.0,19.0,20.0,20.0,54,47.37,2018-19,
139,Banning High,Banning Unified,Riverside,218.0,51.0,18.0,17.0,18.0,18.0,13,25.49,2018-19,
140,Banning Independent Study,Banning Unified,Riverside,91.0,0.0,,,,,,,2018-19,
141,Barstow High,Barstow Unified,San Bernardino,319.0,26.0,18.0,17.0,19.0,19.0,8,30.77,2018-19,
142,Bassett Senior High,Bassett Unified,Los Angeles,254.0,21.0,23.0,22.0,22.0,22.0,12,57.14,2018-19,
143,Bay Area Technology,Oakland Unified,Alameda,35.0,3.0,,,,,*,*,2018-19,
144,be.tech,Manteca Unified,San Joaquin,34.0,0.0,,,,,,,2018-19,
145,Beach High-Intensive Learning Program,Long Beach Unified,Los Angeles,43.0,0.0,,,,,,,2018-19,
146,Bear Creek High,Lodi Unified,San Joaquin,450.0,50.0,20.0,20.0,22.0,22.0,23,46.00,2018-19,
147,Bear River High,Nevada Joint Union High,Nevada,128.0,22.0,23.0,22.0,23.0,22.0,15,68.18,2018-19,
148,Beaumont Senior High,Beaumont Unified,Riverside,652.0,48.0,22.0,20.0,20.0,21.0,23,47.92,2018-19,
149,Bell Gardens High,Montebello Unified,Los Angeles,653.0,175.0,18.0,17.0,17.0,19.0,40,22.86,2018-19,
150,Bell Senior High,Los Angeles Unified,Los Angeles,575.0,178.0,18.0,17.0,18.0,18.0,44,24.72,2018-19,
151,Bella Vista High,San Juan Unified,Sacramento,458.0,74.0,26.0,25.0,26.0,25.0,63,85.14,2018-19,
152,Bellflower High,Bellflower Unified,Los Angeles,367.0,7.0,,,,,*,*,2018-19,
153,Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,31.0,17.0,15.0,17.0,16.0,4,12.90,2018-19,
154,Benicia High,Benicia Unified,Solano,363.0,67.0,27.0,26.0,25.0,25.0,56,83.58,2018-19,
155,Benjamin Franklin Senior High,Los Angeles Unified,Los Angeles,277.0,108.0,18.0,17.0,19.0,18.0,26,24.07,2018-19,
156,Berkeley High,Berkeley Unified,Alameda,715.0,222.0,26.0,26.0,25.0,25.0,165,74.32,2018-19,
157,Bert Corona Charter High,Los Angeles Unified,Los Angeles,43.0,1.0,,,,,*,*,2018-19,
158,Beverly Hills High,Beverly Hills Unified,Los Angeles,404.0,91.0,28.0,29.0,27.0,26.0,78,85.71,2018-19,
159,Big Bear High,Bear Valley Unified,San Bernardino,167.0,9.0,,,,,*,*,2018-19,
160,Big Picture Educational Academy,Fresno County Office of Education,Fresno,21.0,3.0,,,,,*,*,2018-19,
161,Big Valley Jr. Sr. High,Big Valley Joint Unified,Lassen,20.0,0.0,,,,,,,2018-19,
162,Biggs High,Biggs Unified,Butte,57.0,5.0,,,,,*,*,2018-19,
163,Birmingham Community Charter High,Los Angeles Unified,Los Angeles,798.0,37.0,20.0,19.0,20.0,19.0,16,43.24,2018-19,
164,Bishop Union High,Bishop Unified,Inyo,133.0,27.0,23.0,22.0,22.0,22.0,19,70.37,2018-19,
165,Bitney Prep High,Nevada County Office of Education,Nevada,27.0,0.0,,,,,,,2018-19,
166,Blair High,Pasadena Unified,Los Angeles,156.0,37.0,23.0,22.0,22.0,22.0,20,54.05,2018-19,
167,Bloomington High,Colton Joint Unified,San Bernardino,481.0,17.0,21.0,21.0,20.0,21.0,11,64.71,2018-19,
168,Bolsa Grande High,Garden Grove Unified,Orange,477.0,99.0,21.0,21.0,21.0,20.0,47,47.47,2018-19,
169,Bonita High,Bonita Unified,Los Angeles,471.0,115.0,23.0,22.0,22.0,22.0,70,60.87,2018-19,
170,Bonita Vista Senior High,Sweetwater Union High,San Diego,659.0,72.0,24.0,24.0,24.0,24.0,51,70.83,2018-19,
171,Bonsall High,Bonsall Unified,San Diego,66.0,5.0,,,,,*,*,2018-19,
172,Boron Junior-Senior High,Muroc Joint Unified,Kern,39.0,0.0,,,,,,,2018-19,
173,Borrego Springs High,Borrego Springs Unified,San Diego,36.0,0.0,,,,,,,2018-19,
174,Bowman (Jereann) High (Continuation),William S. Hart Union High,Los Angeles,308.0,2.0,,,,,*,*,2018-19,
175,Boyle Heights STEM High,Los Angeles Unified,Los Angeles,42.0,1.0,,,,,*,*,2018-19,
176,Branham High,Campbell Union High,Santa Clara,416.0,67.0,28.0,28.0,27.0,26.0,64,95.52,2018-19,
177,Brawley Union High,Brawley Union High,Imperial,373.0,115.0,19.0,18.0,18.0,18.0,34,29.57,2018-19,
178,Brea-Olinda High,Brea-Olinda Unified,Orange,476.0,121.0,26.0,26.0,26.0,26.0,109,90.08,2018-19,
179,Bret Harte Union High,Bret Harte Union High,Calaveras,152.0,12.0,,,,,*,*,2018-19,
180,Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,117.0,45.0,18.0,17.0,17.0,19.0,11,24.44,2018-19,
181,Briones (Alternative),Martinez Unified,Contra Costa,23.0,2.0,,,,,*,*,2018-19,
182,Buchanan High,Clovis Unified,Fresno,667.0,125.0,26.0,24.0,24.0,25.0,100,80.00,2018-19,
183,Buena High,Ventura Unified,Ventura,412.0,55.0,23.0,22.0,22.0,22.0,32,58.18,2018-19,
184,Buena Park High,Fullerton Joint Union High,Orange,479.0,35.0,22.0,20.0,21.0,22.0,18,51.43,2018-19,
185,Buhach Colony High,Merced Union High,Merced,412.0,64.0,21.0,19.0,19.0,20.0,21,32.81,2018-19,
186,Bullard High,Fresno Unified,Fresno,518.0,24.0,21.0,20.0,22.0,21.0,12,50.00,2018-19,
187,Burbank High,Burbank Unified,Los Angeles,586.0,94.0,25.0,25.0,25.0,24.0,76,80.85,2018-19,
188,Burbank Unified Independent Learning Academy (BUILA),Burbank Unified,Los Angeles,29.0,1.0,,,,,*,*,2018-19,
189,Burlingame High,San Mateo Union High,San Mateo,401.0,131.0,27.0,27.0,27.0,26.0,110,83.97,2018-19,
190,Burney Junior-Senior High,Fall River Joint Unified,Shasta,31.0,9.0,,,,,*,*,2018-19,
191,Burroughs High,Sierra Sands Unified,Kern,331.0,15.0,27.0,26.0,27.0,26.0,14,93.33,2018-19,
192,Burroughs High,Burbank Unified,Los Angeles,584.0,81.0,26.0,26.0,24.0,24.0,63,77.78,2018-19,
193,Burton (Phillip and Sala) Academic High,San Francisco Unified,San Francisco,248.0,50.0,20.0,20.0,21.0,20.0,25,50.00,2018-19,
194,Butte Valley High,Butte Valley Unified,Siskiyou,18.0,0.0,,,,,,,2018-19,
195,Butterfield Charter,Porterville Unified,Tulare,144.0,0.0,,,,,,,2018-19,
196,C. K. McClatchy High,Sacramento City Unified,Sacramento,504.0,74.0,27.0,25.0,23.0,24.0,57,77.03,2018-19,
197,Cabrillo High,Lompoc Unified,Santa Barbara,280.0,27.0,26.0,24.0,24.0,25.0,22,81.48,2018-19,
198,Cabrillo High,Long Beach Unified,Los Angeles,531.0,52.0,18.0,17.0,18.0,17.0,10,19.23,2018-19,
199,Cajon High,San Bernardino City Unified,San Bernardino,631.0,100.0,21.0,19.0,19.0,20.0,36,36.00,2018-19,
200,Calabasas High,Las Virgenes Unified,Los Angeles,524.0,182.0,27.0,28.0,25.0,25.0,155,85.16,2018-19,
201,Calaveras High,Calaveras Unified,Calaveras,189.0,19.0,25.0,22.0,24.0,23.0,16,84.21,2018-19,
202,Calaveras Unified Alternative-Sierra Hills Education Center,Calaveras Unified,Calaveras,15.0,0.0,,,,,,,2018-19,
203,Calero High,East Side Union High,Santa Clara,257.0,2.0,,,,,*,*,2018-19,
204,Calexico High,Calexico Unified,Imperial,761.0,90.0,20.0,19.0,21.0,20.0,35,38.89,2018-19,
205,California Academy of Mathematics and Science,Long Beach Unified,Los Angeles,164.0,65.0,26.0,27.0,27.0,25.0,58,89.23,2018-19,
206,California Academy of Sports Science Fresno,Raisin City Elementary,Fresno,15.0,0.0,,,,,,,2018-19,
207,California City High,Mojave Unified,Kern,107.0,4.0,,,,,*,*,2018-19,
208,California Connections Academy @ North Bay,Middletown Unified,Lake,31.0,0.0,,,,,,,2018-19,
209,California Connections Academy @ Ripon,Ripon Unified,San Joaquin,206.0,9.0,,,,,*,*,2018-19,
210,California Connections Academy Southern California,Capistrano Unified,Orange,618.0,30.0,25.0,25.0,23.0,24.0,23,76.67,2018-19,
211,California Connections Academy@Central,Alpaugh Unified,Tulare,56.0,1.0,,,,,*,*,2018-19,
212,California Heritage Youthbuild Academy II,Trinity County Office of Education,Trinity,36.0,0.0,,,,,,,2018-19,
213,California High,San Ramon Valley Unified,Contra Costa,648.0,203.0,27.0,26.0,26.0,26.0,178,87.68,2018-19,
214,California High,Whittier Union High,Los Angeles,670.0,58.0,21.0,20.0,20.0,20.0,24,41.38,2018-19,
215,California Military Institute,Perris Union High,Riverside,109.0,8.0,,,,,*,*,2018-19,
216,California Pacific Charter - San Diego,Warner Unified,San Diego,108.0,1.0,,,,,*,*,2018-19,
217,California Prep Sutter 8-12,Meridian Elementary,Sutter,40.0,0.0,,,,,,,2018-19,
218,California Preparatory Academy,Capistrano Unified,Orange,68.0,3.0,,,,,*,*,2018-19,
219,California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Special Schl),Alameda,81.0,21.0,16.0,13.0,15.0,17.0,2,9.52,2018-19,
220,California School for the Deaf-Riverside,California School for the Deaf-Riverside (State Special Schl),Riverside,76.0,26.0,16.0,14.0,15.0,16.0,2,7.69,2018-19,
221,California School of the Arts - San Gabriel Valley,Duarte Unified,Los Angeles,90.0,27.0,27.0,27.0,24.0,24.0,21,77.78,2018-19,
222,California STEAM San Bernardino,Trona Joint Unified,San Bernardino,305.0,1.0,,,,,*,*,2018-19,
223,California STEAM Santa Barbara,Cuyama Joint Unified,Santa Barbara,18.0,0.0,,,,,,,2018-19,
224,California STEAM Sonoma II,Guerneville Elementary,Sonoma,59.0,0.0,,,,,,,2018-19,
225,California Virtual Academy @ Los Angeles,West Covina Unified,Los Angeles,329.0,9.0,,,,,*,*,2018-19,
226,California Virtual Academy @ San Diego,Spencer Valley Elementary,San Diego,183.0,3.0,,,,,*,*,2018-19,
227,California Virtual Academy @ San Joaquin,New Jerusalem Elementary,San Joaquin,133.0,3.0,,,,,*,*,2018-19,
228,California Virtual Academy @ Sonoma,Liberty Elementary,Sonoma,70.0,4.0,,,,,*,*,2018-19,
229,California Virtual Academy at Fresno,Orange Center,Fresno,40.0,0.0,,,,,,,2018-19,
230,California Virtual Academy at Kings,Armona Union Elementary,Kings,35.0,1.0,,,,,*,*,2018-19,
231,California Virtual Academy at Maricopa,Maricopa Unified,Kern,29.0,0.0,,,,,,,2018-19,
232,California Virtual Academy at Sutter,Meridian Elementary,Sutter,91.0,1.0,,,,,*,*,2018-19,
